ProductURL,ProductName,RootCate,SubCate,CurrentPrice,TimeStamp
https://www.target.com/p/-/A-54410522,Crystal Lake - Helix (CD),"Movies, Music & Books",Music,12.99,22/01/2022 23:19:25
https://www.target.com/p/-/A-82422142,"VisionTek Mini DisplayPort to VGA Active Adapter (M/F) - 7"" Mini DisplayPort/VGA Video Cable for Monitor, Video Device, Computer",Electronics,TV Accessories,31.99,22/01/2022 23:19:28
https://www.target.com/p/-/A-52775050,River Rose and the Magical Christmas (Paperback) (Kelly Clarkson),"Movies, Music & Books",Elementary Kids' Books,14.79,22/01/2022 23:19:30
https://www.target.com/p/-/A-81832956,Sad13 - Haunted Painting (CD),"Movies, Music & Books",Music,9.99,22/01/2022 23:19:33
https://www.target.com/p/-/A-78413609,"Toshiba Canvio Advance 2 TB Portable Hard Drive - 2.5"" External - White - USB 3.0 - 2 Year Warranty",Electronics,Drives & Storage,86.99,22/01/2022 23:19:36
https://www.target.com/p/-/A-51072494,Tijuana Toads (Blu-ray)(2016),"Movies, Music & Books",Movies,23.49,22/01/2022 23:19:38
https://www.target.com/p/-/A-82557434,PETER THOMAS ROTH Water Drench Hyaluronic Cloud Hydrating Eye Gel - 0.5 fl oz - Ulta Beauty,Beauty,Serums & Treatments,42.0,22/01/2022 23:19:42
https://www.target.com/p/-/A-80405359,"Juvale 2-Pack Woven Wicker Water Hyacinth Storage Baskets Bins with Wood Handles - Natural Brown, 14.5 x 10.5 x 4 inches",Home,Decorative Storage,33.99,22/01/2022 23:19:44
https://www.target.com/p/-/A-78636838,Jpegmafia - All My Heroes Are Cornballs (2 LP) (EXPLICIT LYRICS) (Vinyl),"Movies, Music & Books",Vinyl Records,26.99,22/01/2022 23:19:47
https://www.target.com/p/-/A-78449380,"QVS USB Data Transfer OTG Cable - 8"" USB Data Transfer Cable for Smartphone, Flash Drive, Keyboard/Mouse, Tablet, Gaming Controller",Electronics,"Cables, Cords & Adapters",18.99,22/01/2022 23:19:49
https://www.target.com/p/-/A-78675103,Various Artists - Send I a Lion: A Nighthawk Reggae Joint (Vinyl),"Movies, Music & Books",Vinyl Records,29.99,22/01/2022 23:19:52
https://www.target.com/p/-/A-80828965,"Embalming: History, Theory, and Practice, Fifth Edition - 5th Edition by  Robert Mayer (Hardcover)","Movies, Music & Books","Diet, Health & Fitness Books",117.0,22/01/2022 23:19:54
https://www.target.com/p/-/A-77595238,Ebo Taylor - Palaver (CD),"Movies, Music & Books",Music,12.99,22/01/2022 23:19:57
https://www.target.com/p/-/A-80825682,The PBIS Tier Three Handbook - by  Jessica Djabrayan Hannigan & John E Hannigan (Paperback),"Movies, Music & Books",Non-Fiction,29.95,22/01/2022 23:19:59
https://www.target.com/p/-/A-79451699,"An Intro to Sociolinguistics, - (Blackwell Textbooks in Linguistics) 7th Edition by  Wardhaugh (Paperback)","Movies, Music & Books",Non-Fiction,48.99,22/01/2022 23:20:02
https://www.target.com/p/-/A-76371631,Our Fathers (DVD)(2006),"Movies, Music & Books",Movies,9.99,22/01/2022 23:20:04
https://www.target.com/p/-/A-78143461,La Frontera - by  Deborah Mills & Alfredo Alva (Paperback),"Movies, Music & Books",Pre-teen Books,9.99,22/01/2022 23:20:07
https://www.target.com/p/-/A-81481451,Ramsey Lewis - More Sounds of Christmas (CD),"Movies, Music & Books",Music,13.99,22/01/2022 23:20:11
